,Traditional Portfolio,Bitcoin Portfolio,Etherium Portfolio,Alpha Portfolio
2016-01-05,1.0020393989335272,1.001711950256068,1.0015221729071946,1.000312620338593
2016-01-06,1.0020717855668508,1.0005181838584167,1.00106267118262,1.0022926220839459
2016-01-07,0.9953236946744431,1.0009234595169332,0.9937837804847154,1.0015965171265617
2016-01-08,0.988483284694527,0.9926045591976446,0.9912940966565386,1.002379076986031
2016-01-11,0.9850100656044394,0.9885126240776095,0.9957731007716301,1.0038570475475377
2016-01-12,0.9878201936182199,0.9876916730223848,1.0052223667741118,1.0128797664704772
2016-01-13,0.9779024019446376,0.9765559436694297,0.9932627641858724,1.007723029829742
2016-01-14,0.979200782291865,0.9777642301581455,1.0006500879023184,1.0111749928191571
2016-01-15,0.9734199923489133,0.9563028378131422,0.9955778838272613,1.0013791351112844
2016-01-19,0.9735575756011204,0.9607237367915074,1.009322807069394,1.0147248385063667
2016-01-20,0.973086990272702,0.9698344187066209,1.020059973146809,1.0336304821621431
2016-01-21,0.9759108268509789,0.9706922112294516,1.0248301728060731,1.0331561052313756
2016-01-22,0.9841732138522564,0.9722752359583136,1.0299883719127576,1.0300932707891377
2016-01-25,0.9809469245345097,0.9712739761399001,1.0949116988714807,1.0855462171221952
2016-01-26,0.9921375329946679,0.9824369860224561,1.0976112619658398,1.0844830756809523
2016-01-27,0.9879767994996856,0.9792622563984466,1.0986843885253503,1.0861111361003881
2016-01-28,0.9862056304239557,0.973989487369236,1.103197890181462,1.0872403988750428
2016-01-29,1.0007128488076102,0.9871516663683031,1.1169658124664819,1.0980176448349201
2016-02-01,1.0040950176176344,0.9893649736237481,1.1086776065345418,1.086583199544084
2016-02-02,0.9960611846738562,0.980965374769974,1.1102780661228475,1.0952433525388867
2016-02-03,1.0021137601498513,0.9869381853120527,1.122424880756395,1.096838643341844
2016-02-04,1.007563188025397,0.9977227114016304,1.1309201453120707,1.105632027005666
2016-02-05,1.0046959970912874,0.9937559423561246,1.1255946862031554,1.1027725544646674
2016-02-08,1.0041795141250494,0.9890430601621332,1.1524799344487398,1.1262902033333597
2016-02-09,1.0031178997214374,0.9888846598718001,1.1828440754699572,1.1502766282645602
2016-02-10,1.0061419709828174,0.9930006878984868,1.1974524044077197,1.1640140499838478
2016-02-11,1.0159514081154943,1.0019860715564526,1.2514764320487808,1.2033109086884042
2016-02-12,1.0234149591968318,1.011174986590082,1.251732931011413,1.1981534324552996
2016-02-16,1.0195687320643179,1.0135519454734585,1.2193154957597292,1.1787577188412746
2016-02-17,1.030063335301134,1.0265353615891892,1.2165232413977052,1.1731233598551578
2016-02-18,1.0386981525241366,1.0359166547344945,1.2466558333822129,1.1985149439469889
2016-02-19,1.035817199246925,1.0327974076556317,1.2529707458037056,1.2035853164285097
2016-02-22,1.0363418692784425,1.0370946552060591,1.2763685272425698,1.2265673599729938
2016-02-23,1.036270163090353,1.0327293420391521,1.2752680089172244,1.2235740537010107
2016-02-24,1.0399069686103521,1.0375020188446111,1.2947274582066006,1.2375347053603487
2016-02-25,1.0473964800513171,1.0447785427711527,1.301199703048411,1.2408001070788166
2016-02-26,1.0432712913993618,1.0425780005631449,1.292223975592136,1.2356764744989028
2016-02-29,1.0448922120676798,1.0452758767099715,1.3029728882430338,1.2457412408728703
2016-03-01,1.0531657313613334,1.0538807315373881,1.3415385667385709,1.2664608405125892
2016-03-02,1.0589288411379156,1.0568086204754203,1.362925844062703,1.279414691139254
2016-03-03,1.0681685583389984,1.065598847870623,1.3883568441657392,1.294583574664814
2016-03-04,1.0687654135362596,1.06395438505669,1.406350176105221,1.3029505343009624
2016-03-07,1.0711551125113379,1.067373066329902,1.398178489339515,1.2960915808297113
2016-03-08,1.0639959279919315,1.0594827929314576,1.392272252705736,1.297909894854417
2016-03-09,1.0627489474701142,1.0588121333619809,1.4200878866669757,1.317333991417479
2016-03-10,1.0691812842688015,1.066616751238939,1.4227003602754544,1.313568016575783
2016-03-11,1.069966865781244,1.0690495485674647,1.421594086462202,1.3107313505679283
2016-03-14,1.0641795866757244,1.0615177669415656,1.430919536243034,1.3206221589739742
2016-03-15,1.0636929614749735,1.061076940775466,1.4365956550678907,1.3253770096255881
2016-03-16,1.076007910328996,1.0736563164350117,1.4481637729022183,1.3288349134981603
2016-03-17,1.0773675707070738,1.0763532426911229,1.4338997089678962,1.317650479395187
2016-03-18,1.0757693298356061,1.0716795181733914,1.4303690827509958,1.3144131507614962
2016-03-21,1.0732726121885834,1.0704177232948036,1.4386349654513515,1.320400656529072
2016-03-22,1.0744374498066291,1.072628284804725,1.4327956162108457,1.3174825704699076
2016-03-23,1.0619992765715707,1.0593670981299053,1.4296092415113875,1.3242433793587507
2016-03-24,1.06081431248242,1.0576976301936767,1.4143139121768304,1.3133103841979434
2016-03-28,1.062071810078795,1.060982738633562,1.4214653409983,1.3198904216803795
